id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
66,2026-05-11 20:36:31.256353,1,MORLEY SOFT,JET BLACK,23.5,
67,2026-05-11 20:36:31.25667,1,MORLEY SOFT,JET BLACK,23.5,
68,2026-05-11 20:36:31.256898,1,MORLEY SOFT,JET BLACK,23.2,
69,2026-05-11 20:36:31.257096,1,MORLEY SOFT,JET BLACK,23.1,
70,2026-05-11 20:36:31.257285,1,MORLEY SOFT,JET BLACK,23.5,
71,2026-05-11 20:36:31.257484,1,MORLEY SOFT,JET BLACK,23.7,
72,2026-05-11 20:36:31.25775,1,MORLEY SOFT,JET BLACK,23.5,
73,2026-05-11 20:36:31.25798,1,MORLEY SOFT,JET BLACK,23.2,
74,2026-05-11 20:36:31.258279,1,MORLEY SOFT,JET BLACK,23.4,
75,2026-05-11 20:36:31.258488,1,MORLEY SOFT,JET BLACK,23.5,
76,2026-05-11 20:36:31.258725,1,MORLEY SOFT,JET BLACK,23.6,
77,2026-05-11 20:36:31.258935,1,MORLEY SOFT,JET BLACK,23.5,
78,2026-05-11 20:36:31.259124,1,MORLEY SOFT,JET BLACK,23.4,
79,2026-05-11 20:36:31.259314,1,MORLEY SOFT,JET BLACK,23.6,
80,2026-05-11 20:36:31.259505,1,MORLEY SOFT,JET BLACK,23.4,
81,2026-05-11 20:36:31.259688,1,MORLEY SOFT,JET BLACK,23.4,
82,2026-05-11 20:36:31.259874,1,MORLEY SOFT,JET BLACK,23.6,
83,2026-05-11 20:36:31.260066,1,MORLEY SOFT,JET BLACK,23.6,
84,2026-05-11 20:36:31.260246,1,MORLEY SOFT,JET BLACK,23.6,
220,2026-05-13 15:00:07.15063,1,MORLEY SOFT,CHOCO,23.4,
221,2026-05-13 15:00:07.151027,1,MORLEY SOFT,CHOCO,23.2,
85,2026-05-11 20:36:31.260443,1,MORLEY SOFT,JET BLACK,23.5,
86,2026-05-11 20:36:31.260824,1,MORLEY SOFT,JET BLACK,23.1,
87,2026-05-11 20:36:31.261017,1,MORLEY SOFT,JET BLACK,23.5,
88,2026-05-11 20:40:06.403686,1,MORLEY SOFT,BORRAVINO,24.4,
89,2026-05-11 20:40:06.404037,1,MORLEY SOFT,BORRAVINO,23,
90,2026-05-11 20:40:06.404243,1,MORLEY SOFT,BORRAVINO,22.5,
91,2026-05-11 20:40:06.404426,1,MORLEY SOFT,BORRAVINO,23,
92,2026-05-11 20:40:06.404645,1,MORLEY SOFT,BORRAVINO,22.9,
93,2026-05-11 20:40:06.404825,1,MORLEY SOFT,BORRAVINO,23.2,
94,2026-05-11 20:40:06.405,1,MORLEY SOFT,BORRAVINO,23.1,
95,2026-05-11 20:40:06.405174,1,MORLEY SOFT,BORRAVINO,23.1,
96,2026-05-11 20:40:06.405353,1,MORLEY SOFT,BORRAVINO,16,
97,2026-05-11 20:40:06.405637,1,MORLEY SOFT,BORRAVINO,23.3,
98,2026-05-11 20:40:06.405896,1,MORLEY SOFT,BORRAVINO,23.1,
99,2026-05-11 20:40:06.406111,1,MORLEY SOFT,BORRAVINO,22.9,
